UID_01,BIOCHEMICAL,NCI_NAME,BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_NAME1,ARIC_NAME2,UCLEB_NMR_NAME,SHANGHAI_CHD_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
CHEM100009042,5-hydroxyindole sulfate,_5_hydroxyindole_sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100009042,52914,NA,NA,NA,NA,NA,NA,NA,AMINO ACID,TRYPTOPHAN METABOLISM,NA
HMDB00763,5-hydroxyindoleacetate,_5_hydroxyindoleacetate,NA,5-hydroxyindoleacetate,NA,NA,5-hydroxyindoleacetate,NA,NA,HMDB00763,HMDB00763,NA,71,437,1826,NA,NA,NA,NA,54-16-0,C05635,AMINO ACID,TRYPTOPHAN METABOLISM,NA
HMDB00450,5-hydroxylysine,_5_hydroxylysine,NA,5-hydroxylysine,NA,NA,NA,NA,NA,HMDB00450,HMDB00450,NA,100000054,15685,1029,NA,NA,NA,NA,13204-98-3,"C16741,C01211",AMINO ACID,"LYSINE METABOLISM; VALINE, LEUCINE AND ISOLEUCINE METABOLISM",NA
HMDB02432,5-hydroxymethyl-2-furoic acid,_5_hydroxymethyl_2_furoic_aci,NA,NA,NA,NA,NA,NA,5-hydroxymethyl-2-furoic acid,HMDB02432,HMDB02432,NA,100003954,42040;34593,80642,NA,NA,NA,NA,6338-41-6,C20448,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,NA
HMDB00472,5-hydroxytryptophan,NA,5-hydroxytryptophan,NA,NA,NA,NA,NA,NA,HMDB00472,HMDB00472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB01868,5-methoxysalicylic acid,_5_methoxysalicylic_acid,NA,NA,NA,NA,NA,NA,NA,HMDB01868,HMDB01868,NA,100004240,43383,75787,NA,NA,NA,NA,260088,NA,XENOBIOTICS,BENZOATE METABOLISM,NA
HMDB01173,5-methylthioadenosine (MTA),_5_methylthioadenosine__mta_,NA,5-methylthioadenosine (MTA),NA,NA,5-methylthioadenosine (MTA),NA,NA,HMDB01173,HMDB01173,NA,212,1419,439176,NA,NA,NA,NA,2457-80-9,C00170,AMINO ACID,POLYAMINE METABOLISM,NA
HMDB00884,5-methyluridine (ribothymidine),_5_methyluridine__ribothymidi,NA,5-methyluridine (ribothymidine),NA,5-methyluridine (ribothymidine),5-methyluridine (ribothymidine),NA,5-methyluridine (ribothymidine),HMDB00884,HMDB00884,NA,100001446,35136,445408,NA,NA,NA,NA,1463-10-1,NA,NUCLEOTIDE,"PYRIMIDINE METABOLISM, URACIL CONTAINING",NA
HMDB00267,5-oxoproline,_5_oxoproline,pyroglutamic acid,5-oxoproline,NA,5-oxoproline,5-oxoproline,NA,5-oxoproline,HMDB00267,HMDB00267,NA,1021,1494,7405,NA,NA,NA,NA,98-79-3,C01879,AMINO ACID,GLUTATHIONE METABOLISM,NA
CHEM100005396,"5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate",_5a_androstan_3a_17bd17glucos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100005396,47132,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002007,"5alpha-androstan-3alpha,17alpha-diol disulfate",_5a_androstan_3a_17add,NA,NA,NA,NA,"5alpha-androstan-3alpha,17alpha-diol disulfate",NA,NA,NA,NA,NA,100002007,37182,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002008,"5alpha-androstan-3alpha,17alpha-diol monosulfate",_5a_androstan_3a_17adm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100002008,37183,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002017,"5alpha-androstan-3alpha,17beta-diol disulfate",_5a_androstan_3a_17bdd,NA,"5alpha-androstan-3alpha,17beta-diol disulfate",NA,"5alpha-androstan-3alpha,17beta-diol disulfate","5alpha-androstan-3alpha,17beta-diol disulfate",NA,NA,NA,NA,NA,100002017,37184,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002018,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)*",_5a_androstan_3a_17bdm1,NA,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",NA,NA,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",NA,NA,NA,NA,NA,100002018,37186,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100006005,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",_5a_androstan_3a_17bdm2,NA,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",NA,NA,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",NA,NA,NA,NA,NA,100006005,37185,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002021,"5alpha-androstan-3beta,17alpha-diol disulfate",_5alpha_androstan_3beta_17alp,NA,"5alpha-androstan-3beta,17alpha-diol disulfate",NA,NA,"5alpha-androstan-3beta,17alpha-diol disulfate",NA,NA,NA,NA,NA,100002021,37187,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
HMDB00493,"5alpha-androstan-3beta,17beta-diol disulfate",_5alpha_androstan_3beta_17bet,NA,"5alpha-androstan-3beta,17beta-diol disulfate",NA,"5alpha-androstan-3beta,17beta-diol disulfate","5alpha-androstan-3beta,17beta-diol disulfate",NA,"5alpha-androstan-3beta,17beta-diol disulfate",HMDB00493,HMDB00493,NA,100001987,37190,242332,NA,NA,NA,NA,571-20-0,C12525,LIPID,STEROL/STEROID,NA
CHEM100002023,"5alpha-androstan-3beta,17beta-diol monosulfate (1)*",_5a_androstan_3b_17bdm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100002023,37191,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002024,"5alpha-androstan-3beta,17beta-diol monosulfate (2)*",_5a_androstan_3b_17bdm2,NA,NA,NA,NA,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",NA,NA,NA,NA,NA,100002024,37192,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002015,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",_5alpha_pregnan_3aorb_20bdd,NA,NA,NA,NA,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",NA,NA,NA,NA,NA,100002015,46172,5127902,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002016,"5alpha-pregnan-3alpha,20beta-diol disulfate 1*",_5alpha_pregnan_3alpha_20bdd1,NA,NA,NA,"5alpha-pregnan-3alpha,20beta-diol disulfate 1*",NA,NA,NA,NA,NA,NA,100002016,37201,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100001988,"5alpha-pregnan-3beta,20alpha-diol disulfate",_5alpha_pregnan_3beta_20add,NA,"5alpha-pregnan-3beta,20alpha-diol disulfate",NA,"5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",NA,"5alpha-pregnan-3beta,20alpha-diol disulfate",NA,NA,NA,100001988,37198,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002014,"5alpha-pregnan-3beta,20alpha-diol monsulfate (2)*",_5alpha_pregnan_3beta_20adm2,NA,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",NA,NA,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",NA,NA,NA,NA,NA,100002014,37200,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002009,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",_5alpha_pregnan_3beta_20bdm1,NA,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",NA,NA,NA,NA,NA,NA,NA,NA,100002009,37196,NA,NA,NA,NA,NA,NA,NA,LIPID,STEROL/STEROID,NA
CHEM100002035,"5alpha-pregnan-3beta-ol,20-one sulfate",_5alpha_pregnan_3beta_ol_20_o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100002035,37480,NA,NA,NA,NA,NA,7730-00-9,NA,LIPID,STEROL/STEROID,NA
CHEM100002627,6-aminopenicillanate,_6_aminopenicillanate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100002627,38655,1.11E+11,NA,NA,NA,NA,551-16-6,C02954,XENOBIOTICS,DRUG,NA
CHEM100006260,6-hydroxyindole sulfate,_6_hydroxyindole_sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100006260,48698,NA,NA,NA,NA,NA,NA,NA,XENOBIOTICS,CHEMICAL,NA
CHEM100004499,6-oxopiperidine-2-carboxylic acid (X - 14955),_6_oxopiperidine_2_carboxylic (x_14955),NA,6-oxopiperidine-2-carboxylic acid,NA,NA,6-oxopiperidine-2-carboxylic acid,NA,NA,NA,NA,NA,100004499,36982;43231,3014237,NA,NA,NA,NA,34622-39-4,NA,XENOBIOTICS,DRUG,NA
HMDB01316,6-phosphogluconate,NA,6-phosphogluconate,NA,NA,NA,NA,NA,NA,HMDB01316,HMDB01316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB12458,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),_7_hoca,NA,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),NA,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),NA,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),HMDB12458,HMDB12458,NA,100001609,36776,3081085,NA,NA,NA,NA,115538-85-7,C17337,LIPID,STEROL/STEROID,NA
HMDB01496,7-alpha-hydroxycholesterol,_7_alpha_hydroxycholesterol,NA,NA,NA,NA,NA,NA,NA,HMDB01496,HMDB01496,NA,100001602,35692,107722,NA,NA,NA,NA,566-27-8,C03594,LIPID,STEROL/STEROID,NA
HMDB06119,7-beta-hydroxycholesterol,_7_beta_hydroxycholesterol,NA,NA,NA,7-beta-hydroxycholesterol,NA,NA,NA,HMDB06119,HMDB06119,NA,100001095,35092,473141,NA,NA,NA,NA,566-27-8,C03594,LIPID,STEROL/STEROID,NA
HMDB00032,7-dehydrocholesterol,_7_dehydrocholesterol,NA,NA,NA,NA,NA,NA,NA,HMDB00032,HMDB00032,NA,264,40398,439423,NA,NA,NA,NA,434-16-2,C01164,LIPID,STEROL/STEROID,NA
HMDB00391,7-ketodeoxycholate,_7_ketodeoxycholate,NA,NA,NA,NA,NA,NA,NA,HMDB00391,HMDB00391,NA,100001063,31904,188292,NA,NA,NA,NA,911-40-0,NA,LIPID,SECONDARY BILE ACID METABOLISM,NA
HMDB00897,7-methylguanine,_7_methylguanine,NA,7-methylguanine,NA,7-methylguanine,7-methylguanine,NA,NA,HMDB00897,HMDB00897,NA,100001456,35114,11361,NA,NA,NA,NA,578-76-7,C02242,NUCLEOTIDE,"PURINE METABOLISM, GUANINE CONTAINING",NA
CHEM100002241,7-methylurate,_7_methylurate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100002241,39598,69160,NA,NA,NA,NA,612-37-3,NA,XENOBIOTICS,XANTHINE METABOLISM,NA
HMDB01991,7-methylxanthine,_7_methylxanthine,NA,7-methylxanthine,NA,7-methylxanthine,7-methylxanthine,NA,NA,HMDB01991,HMDB01991,NA,100001396,34390,68374,NA,NA,NA,NA,552-62-5,C16353,XENOBIOTICS,XANTHINE METABOLISM,NA
COMP21161,8-aminocaprylate,_8_aminocaprylate,NA,NA,NA,NA,NA,NA,8-aminocaprylate,NA,NA,NA,NA,21161,6.61E+11,NA,NA,NA,NA,1002-57-9,NA,LIPID,"FATTY ACID, AMINO",NA
HMDB00711,8-hydroxyoctanoate,_8_hydroxyoctanoate,NA,NA,NA,NA,8-hydroxyoctanoate,NA,NA,HMDB00711,HMDB00711,NA,100000956,21239,69820,NA,NA,NA,NA,764-89-6,NA,LIPID,"FATTY ACID, MONOHYDROXY",NA
HMDB04704,"9,10-DiHOME or 9,10-hydroxyoctadec-12(Z)-enoic acid",_9_10_dihome (_9_10_hydroxyoctadec_12_z__e),NA,NA,NA,NA,NA,NA,NA,HMDB04704,HMDB04704,NA,179,38399,9966640,NA,NA,NA,NA,263399-34-4,C14828,LIPID,"FATTY ACID, DIHYDROXY",NA
CHEM100003063,"9,10-epoxystearate",_9_10_epoxystearate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100003063,39627,15868,NA,NA,NA,NA,2443-39-2,C19418,LIPID,"FATTY ACID, OXIDIZED",NA
HMDB13334,"9,12-Hexadecadienoylcarnitine",NA,NA,NA,Hexadecadienylcarnitine,NA,NA,NA,NA,HMDB13334,HMDB13334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB13207,9-Hexadecenoylcarnitine,NA,NA,NA,Hexadecenoylcarnitine,NA,NA,NA,NA,HMDB13207,HMDB13207,NA,NA,NA,53481653,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHEM100005834,9-hydroxystearate,_9_hydroxystearate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100005834,47120,9570127,NA,NA,NA,NA,25498-28-6,NA,LIPID,"FATTY ACID, MONOHYDROXY",NA
CHEM100004247,9-methyluric acid,_9_methyluric_acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100004247,43514,108714,NA,NA,NA,NA,55441-71-9,NA,NUCLEOTIDE,"PURINE METABOLISM, URATE METABOLISM; PURINE METABOLISM, (HYPO)XANTHINE/INOSINE CONTAINING",NA
HMDB01539,ADMA,NA,ADMA,NA,Asymmetric dimethylarginine,NA,NA,NA,NA,HMDB01539,HMDB01539,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1",YDGMGEXADBMOMJ-LURJTMIESA-N,NA,NA,NA,NA,NA
CHEM100001322,ADSGEGDFXAEGGGVR*,adsgegdfxaegggvr,NA,NA,NA,ADSGEGDFXAEGGGVR*,ADSGEGDFXAEGGGVR*,NA,ADSGEGDFXAEGGGVR*,NA,NA,NA,100001322,33084,16133137,NA,NA,NA,NA,NA,NA,PEPTIDE,FIBRINOGEN CLEAVAGE PEPTIDE,NA
CHEM100001324,ADpSGEGDFXAEGGGVR*,adpsgegdfxaegggvr,NA,NA,NA,ADpSGEGDFXAEGGGVR*,NA,NA,NA,NA,NA,NA,100001324,33801,NA,NA,NA,NA,NA,NA,NA,PEPTIDE,FIBRINOGEN CLEAVAGE PEPTIDE,NA
CHEM100006203,Acesulfame,acesulfame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100006203,48569,NA,NA,NA,NA,NA,55589-62-3,NA,XENOBIOTICS,FOOD COMPONENT/PLANT,NA
PUBCHEM175,Acetate,NA,NA,NA,NA,NA,NA,Acetate (mmol/L),NA,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,64-19-7,NA,NA,NA,NA
HMDB00060,Acetoacetate,acetoacetate,NA,NA,NA,NA,NA,Acetoacetate (mmol/L),NA,HMDB00060,HMDB00060,NA,1218,33963,96,NA,NA,NA,NA,578486,C00164,LIPID,KETONE BODIES,NA
HMDB00201,Acetylcarnitine,acetylcarnitine,C2 carnitine,acetylcarnitine,NA,acetylcarnitine,acetylcarnitine,NA,acetylcarnitine,HMDB00201,HMDB00201,NA,100000802,32198,1;7045767,NA,NA,NA,NA,5080-50-2,C02571,LIPID,CARNITINE METABOLISM,NA
HMDB00895,Acetylcholine,NA,acetylcholine,NA,NA,NA,NA,NA,NA,HMDB00895,HMDB00895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB01494,Acetylphosphate,acetylphosphate,NA,NA,NA,acetylphosphate,NA,NA,NA,HMDB01494,HMDB01494,NA,1211,15488,186,NA,NA,NA,NA,94249-01-1,C00227,ENERGY,OXIDATIVE PHOSPHORYLATION,NA
CHEM100004541,Acisoga (X - 03056),acisoga (x_03056),NA,acisoga,NA,X - 03056_200,acisoga,NA,acisoga,NA,NA,NA,100004541,43258;32709,129397,NA,NA,NA,NA,106692-36-8,NA,AMINO ACID,POLYAMINE METABOLISM,NA
HMDB00072_HMDB00958,Aconitate [cis or trans],aconitate__cis_or_trans_,NA,NA,NA,NA,NA,NA,NA,"HMDB00072,HMDB00958",HMDB00072,HMDB00958,100001359,46173,NA,NA,NA,NA,NA,NA,"C00417,C02341",ENERGY,KREBS CYCLE / TCA CYCLE,"HMDB0072 is Cis-aconitate, HMDB00958 is Trans-aconitate; both are more specific than Aconitate (cis or trans)"
HMDB00034,Adenine,adenine,adenine,adenine,NA,NA,adenine,NA,NA,HMDB00034,HMDB00034,NA,880,554,190,NA,NA,NA,NA,73-24-5,C00147,NUCLEOTIDE,"PURINE METABOLISM, ADENINE CONTAINING",NA
HMDB00050,Adenosine,adenosine,adenosine,adenosine,NA,adenosine,adenosine,NA,NA,HMDB00050,HMDB00050,NA,798,555,60961,NA,NA,NA,NA,58-61-7,C00212,NUCLEOTIDE,"PURINE METABOLISM, ADENINE CONTAINING",NA
HMDB00058,"Adenosine 3',5'-cyclic monophosphate (cAMP)",camp,cAMP,NA,NA,NA,"adenosine 3',5'-cyclic monophosphate (cAMP)",NA,NA,HMDB00058,HMDB00058,NA,207,2831,274;6076,NA,NA,NA,NA,60-92-4,C00575,NUCLEOTIDE,"PURINE METABOLISM, ADENINE CONTAINING",NA
HMDB01341,Adenosine 5'-diphosphate (ADP),adenosine_5__diphosphate__adp,ADP,NA,NA,NA,NA,NA,NA,HMDB01341,HMDB01341,NA,208,3108,6022,NA,NA,NA,NA,20398-34-9,C00008,NUCLEOTIDE,"PURINE METABOLISM, ADENINE CONTAINING",NA
HMDB00045,Adenosine 5'-monophosphate (AMP),adenosine_5__monophosphate__a,AMP,NA,NA,NA,adenosine 5'-monophosphate (AMP),NA,adenosine 5'-monophosphate (AMP),HMDB00045,HMDB00045,NA,209,32342,15938965;6083,NA,NA,NA,NA,149022-20-8,C00020,NUCLEOTIDE,"PURINE METABOLISM, ADENINE CONTAINING",NA
HMDB00448,Adipate,adipate,adipate,NA,NA,adipate,adipate,NA,NA,HMDB00448,HMDB00448,NA,100000863,21134,196,NA,NA,NA,NA,124-04-9,C06104,LIPID,"FATTY ACID, DICARBOXYLATE",NA
CHEM100006614,Adipoylcarnitine,adipoylcarnitine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100006614,52988,NA,NA,NA,NA,NA,NA,NA,LIPID,CARNITINE METABOLISM,NA
HMDB02226,Adrenate (22:4n6),adrenate__22_4n6_,NA,adrenate (22:4n6),NA,adrenate (22:4n6),adrenate (22:4n6),NA,adrenate (22:4n6),HMDB02226,HMDB02226,NA,100001193,32980,5.28E+13,NA,NA,NA,NA,2091-25-0,C16527,LIPID,LONG CHAIN FATTY ACID; POLYUNSATURATED FATTY ACID (N3 AND N6),NA
HMDB00161,Alanine,alanine,alanine,alanine,NA,alanine,alanine,Alanine (mmol/L),alanine,HMDB00161,HMDB00161,NA,811,1126;32339,59507311724,NA,NA,NA,NA,56-41-7,C00041,AMINO ACID,ALANINE AND ASPARTATE METABOLISM,NA
HMDB03459,Alanylalanine,alanylalanine,NA,NA,NA,NA,NA,NA,NA,HMDB03459,HMDB03459,NA,100000113,15129,5.46E+13,NA,NA,NA,NA,1948-31-8,C00993,PEPTIDE,DIPEPTIDE,NA
CHEM100001891,Alanylisoleucine,NA,NA,NA,NA,NA,alanylisoleucine,NA,NA,NA,NA,NA,100001891,37118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB28691,Alanylleucine,alanylleucine,NA,NA,NA,alanylleucine,alanylleucine,NA,NA,HMDB28691,HMDB28691,NA,100001890,37093,259583,NA,NA,NA,NA,1638-60-4,NA,PEPTIDE,DIPEPTIDE,NA
CHEM100002700,Alanylphenylalanine,alanylphenylalanine,NA,NA,NA,NA,alanylphenylalanine,NA,NA,NA,NA,NA,100002700,38679,2080,NA,NA,NA,NA,3061-90-3,NA,PEPTIDE,DIPEPTIDE,NA
CHEM100001884,Alanylvaline,NA,NA,NA,NA,NA,alanylvaline,NA,NA,NA,NA,NA,100001884,37084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDBP02075,Albumin,NA,NA,NA,NA,NA,NA,Albumin (signal area),NA,HMDBP02075,HMDBP02075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB00462,Allantoin,allantoin,allantoin,allantoin,NA,allantoin,allantoin,NA,NA,HMDB00462,HMDB00462,NA,1002,1107;22808,204,NA,NA,NA,NA,97-59-6,C02350,NUCLEOTIDE,"PURINE METABOLISM, URATE METABOLISM; PURINE METABOLISM, (HYPO)XANTHINE/INOSINE CONTAINING",NA
HMDB33592,Alliin,alliin,NA,NA,NA,NA,alliin,NA,NA,HMDB33592,HMDB33592,NA,100003473,41494,87310,NA,NA,NA,NA,556-27-4,C08265,XENOBIOTICS,FOOD COMPONENT/PLANT,NA
CHEM100005840,Allo-isoleucine,allo_isoleucine,NA,NA,NA,NA,allo-isoleucine,NA,NA,NA,NA,NA,100005840,47034,6950182;99288,NA,NA,NA,NA,NA,NA,AMINO ACID,"VALINE, LEUCINE AND ISOLEUCINE METABOLISM",NA
HMDB04041,Allo-threonine,allo_threonine,NA,NA,NA,NA,NA,NA,NA,HMDB04041,HMDB04041,NA,100000272,15142,99289;6995276,NA,NA,NA,NA,28954-12-3,C05519,AMINO ACID,"GLYCINE, SERINE AND THREONINE METABOLISM",NA
CHEM100004518,Allopurinol,allopurinol,NA,allopurinol,NA,NA,allopurinol,NA,NA,NA,NA,NA,100004518,43534,2094,NA,NA,NA,NA,315-30-0,NA,XENOBIOTICS,DRUG,NA
CHEM100002454,Allopurinol riboside,allopurinol_riboside,NA,allopurinol riboside,NA,NA,allopurinol riboside,NA,NA,NA,NA,NA,100002454,38321,NA,NA,NA,NA,NA,16220-07-8,NA,XENOBIOTICS,DRUG,NA
HMDB01518,Alpha-CEHC,alpha_cehc,NA,NA,NA,NA,NA,NA,NA,HMDB01518,HMDB01518,NA,100002206,48188,9943542,NA,NA,NA,NA,4072-32-6,NA,COFACTORS AND VITAMINS,TOCOPHEROL METABOLISM,NA
CHEM100003101,Alpha-CEHC glucuronide*,alpha_cehc_glucuronide,NA,NA,NA,NA,alpha-CEHC glucuronide*,NA,NA,NA,NA,NA,100003101,39346,NA,NA,NA,NA,NA,477200-36-5,NA,COFACTORS AND VITAMINS,TOCOPHEROL METABOLISM,NA
CHEM100005972,Alpha-CEHC sulfate (X - 12435),alpha_cehc_sulfate,NA,NA,NA,NA,alpha-CEHC sulfate,NA,NA,NA,NA,NA,100005972,33877;47666,NA,NA,NA,NA,NA,NA,NA,COFACTORS AND VITAMINS,TOCOPHEROL METABOLISM,NA
CHEM100000964,Alpha-glutamylglutamate,alpha_glutamylglutamate,NA,NA,NA,alpha-glutamylglutamate,alpha-glutamylglutamate,NA,NA,NA,NA,NA,100000964,22166,439500,NA,NA,NA,NA,3929-61-1,C01425,PEPTIDE,DIPEPTIDE,NA
CHEM100003250,Alpha-glutamyltyrosine,alpha_glutamyltyrosine,NA,NA,NA,NA,alpha-glutamyltyrosine,NA,NA,NA,NA,NA,100003250,40033,351830,NA,NA,NA,NA,3422-39-7,NA,PEPTIDE,DIPEPTIDE,NA
HMDB01624,Alpha-hydroxycaproate,alpha_hydroxycaproate,NA,alpha-hydroxycaproate,NA,NA,alpha-hydroxycaproate,NA,NA,HMDB01624,HMDB01624,NA,100001723,37073,99824,NA,NA,NA,NA,6064-63-7,NA,LIPID,"FATTY ACID, MONOHYDROXY",NA
HMDB00746,Alpha-hydroxyisocaproate,alpha_hydroxyisocaproate,NA,alpha-hydroxyisocaproate,NA,alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,NA,NA,HMDB00746,HMDB00746,NA,100000706,22132,83697,NA,NA,NA,NA,10303-64-7,C03264,AMINO ACID,"VALINE, LEUCINE AND ISOLEUCINE METABOLISM",NA
HMDB00407,Alpha-hydroxyisovalerate,alpha_hydroxyisovalerate,NA,alpha-hydroxyisovalerate,NA,alpha-hydroxyisovalerate,alpha-hydroxyisovalerate,NA,alpha-hydroxyisovalerate,HMDB00407,HMDB00407,NA,100001300,33937;46537,99823,NA,NA,NA,NA,600-37-3,NA,AMINO ACID,"VALINE, LEUCINE AND ISOLEUCINE METABOLISM",NA
CHEM100005836,Alpha-hydroxyisovaleroyl carnitine*,alpha_hydroxyisovaleroyl_carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100005836,46263,NA,NA,NA,NA,NA,NA,NA,AMINO ACID,"VALINE, LEUCINE AND ISOLEUCINE METABOLISM",NA
HMDB00005,Alpha-ketobutyrate,alpha_ketobutyrate,NA,alpha-ketobutyrate,NA,NA,NA,NA,NA,HMDB00005,HMDB00005,NA,796,4968;42107,359327758,NA,NA,NA,NA,600-18-0,C00109,AMINO ACID,"CYSTEINE, METHIONINE, SAM, TAURINE METABOLISM",NA
HMDB00208,Alpha-ketoglutarate,alpha_ketoglutarate,alpha-ketoglutarate,alpha-ketoglutarate,NA,NA,alpha-ketoglutarate,NA,alpha-ketoglutarate,HMDB00208,HMDB00208,NA,93,528;33453,51,NA,NA,NA,NA,305-72-6;328-50-7;22202-68-2,C00026,ENERGY,KREBS CYCLE / TCA CYCLE,NA
HMDB01451,Alpha-lipoate,alpha_lipoate,NA,NA,NA,NA,NA,NA,NA,HMDB01451,HMDB01451,NA,100000141,47892,864,NA,NA,NA,NA,1077-28-7,C00725,COFACTORS AND VITAMINS,LIPOATE METABOLISM,NA
HMDB01893,Alpha-tocopherol,alpha_tocopherol,NA,alpha-tocopherol,NA,alpha-tocopherol,alpha-tocopherol,NA,alpha-tocopherol,HMDB01893,HMDB01893,NA,1105,1561,14985,NA,NA,NA,NA,59-02-9;10191-41-0,C02477,COFACTORS AND VITAMINS,TOCOPHEROL METABOLISM,NA
HMDB01906,Aminoisobutyric acid,NA,aminoisobutyric acid,NA,NA,NA,NA,NA,NA,HMDB01906,HMDB01906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHEM100004087,Amitriptyline,amitriptyline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100004087,42131,2160,NA,NA,NA,NA,50-48-6,C06824,XENOBIOTICS,DRUG,NA
CHEM100002152,Andro steroid monosulfate (1)*,andro_steroid_monosulfate_1,NA,andro steroid monosulfate (1)*,NA,NA,andro steroid monosulfate (1)*,NA,NA,HMDB02759,HMDB02759,NA,100002152,32827,NA,NA,NA,NA,NA,NA,C04555,LIPID,STEROL/STEROID,NA
CHEM100002068,Andro steroid monosulfate 2*,andro_steroid_monosulfate_2,NA,NA,NA,andro steroid monosulfate 2*,NA,NA,andro steroid monosulfate 2*,HMDB02759,HMDB02759,NA,100002068,32792,NA,NA,NA,NA,NA,NA,C04555,LIPID,STEROL/STEROID,NA
CHEM100001073,Androsterone sulfate,androsterone_sulfate,NA,androsterone sulfate,NA,androsterone sulfate,androsterone sulfate,NA,androsterone sulfate,HMDB02759,HMDB02759,NA,100001073,31591,159663,NA,NA,NA,NA,2479-86-9,C00523,LIPID,STEROL/STEROID,NA
